

===============================================
2022-12-19 11:47:01

main_gnnt.py --warmup 10 --scheduler linear --device 0

None

dataset: NCI1
use_node_attr: False
pre_transform: None
transform: None
clean_cache: False
use_public_splits: True
use_val: True
use_val_loss: True
same_best_epoch: False
early_stop: False
epochs: 100
scheduler: linear
warmup: 10
batch_size: 128
lr: 0.0001
weight_decay: 0.0001
clustering: True
tlayer_dropout: 0.1
seeds: 12344
save_state: False



| Epoch    0 | Train e:  49.09, T l:  0.7030 | Val e:  47.45 | Test e:  51.58 
| Epoch    1 | Train e:  51.31, T l:  0.6449 | Val e:  51.58 | Test e:  50.61 
| Epoch    2 | Train e:  65.94, T l:  0.5976 | Val e:  65.94 | Test e:  66.18 
| Epoch    3 | Train e:  74.09, T l:  0.5540 | Val e:  72.26 | Test e:  74.21 
| Epoch    4 | Train e:  77.31, T l:  0.5186 | Val e:  74.21 | Test e:  74.21 
| Epoch    5 | Train e:  78.74, T l:  0.4999 | Val e:  74.45 | Test e:  74.70 
| Epoch    6 | Train e:  77.86, T l:  0.4844 | Val e:  73.24 | Test e:  75.67 
| Epoch    7 | Train e:  79.56, T l:  0.4762 | Val e:  77.13 | Test e:  80.05 
| Epoch    8 | Train e:  81.75, T l:  0.4477 | Val e:  77.13 | Test e:  78.59 
| Epoch    9 | Train e:  77.77, T l:  0.4411 | Val e:  73.97 | Test e:  73.97 
| Epoch   10 | Train e:  80.84, T l:  0.4191 | Val e:  76.40 | Test e:  75.67 
| Epoch   11 | Train e:  75.21, T l:  0.3950 | Val e:  74.45 | Test e:  72.26 
| Epoch   12 | Train e:  83.30, T l:  0.3883 | Val e:  78.59 | Test e:  79.32 
| Epoch   13 | Train e:  85.01, T l:  0.3943 | Val e:  78.10 | Test e:  81.27 
| Epoch   14 | Train e:  85.61, T l:  0.3985 | Val e:  78.35 | Test e:  79.81 
| Epoch   15 | Train e:  85.86, T l:  0.3434 | Val e:  77.86 | Test e:  79.56 
| Epoch   16 | Train e:  83.15, T l:  0.3322 | Val e:  75.91 | Test e:  75.91 
| Epoch   17 | Train e:  85.98, T l:  0.3310 | Val e:  79.08 | Test e:  79.81 
| Epoch   18 | Train e:  85.10, T l:  0.3260 | Val e:  78.10 | Test e:  79.32 
| Epoch   19 | Train e:  88.47, T l:  0.3133 | Val e:  81.51 | Test e:  81.51 
| Epoch   20 | Train e:  87.29, T l:  0.3086 | Val e:  78.83 | Test e:  80.78 
| Epoch   21 | Train e:  89.42, T l:  0.3055 | Val e:  81.51 | Test e:  84.18 
| Epoch   22 | Train e:  88.47, T l:  0.2993 | Val e:  78.83 | Test e:  76.16 
| Epoch   23 | Train e:  84.98, T l:  0.2827 | Val e:  79.56 | Test e:  82.48 
| Epoch   24 | Train e:  89.26, T l:  0.2823 | Val e:  74.94 | Test e:  79.81 
| Epoch   25 | Train e:  88.87, T l:  0.2772 | Val e:  79.08 | Test e:  79.32 
| Epoch   26 | Train e:  91.70, T l:  0.2632 | Val e:  79.08 | Test e:  83.45 
| Epoch   27 | Train e:  90.30, T l:  0.2401 | Val e:  78.59 | Test e:  77.13 
| Epoch   28 | Train e:  90.24, T l:  0.2392 | Val e:  79.32 | Test e:  80.54 
| Epoch   29 | Train e:  90.39, T l:  0.2350 | Val e:  79.81 | Test e:  80.54 
| Epoch   30 | Train e:  89.87, T l:  0.2502 | Val e:  78.83 | Test e:  81.02 
| Epoch   31 | Train e:  91.03, T l:  0.2366 | Val e:  77.37 | Test e:  82.73 
| Epoch   32 | Train e:  92.27, T l:  0.2436 | Val e:  79.08 | Test e:  79.56 
| Epoch   33 | Train e:  93.22, T l:  0.2299 | Val e:  81.02 | Test e:  80.29 
| Epoch   34 | Train e:  93.83, T l:  0.2022 | Val e:  80.05 | Test e:  83.94 
| Epoch   35 | Train e:  92.82, T l:  0.2094 | Val e:  79.56 | Test e:  80.29 
| Epoch   36 | Train e:  92.06, T l:  0.1887 | Val e:  78.35 | Test e:  82.48 
| Epoch   37 | Train e:  92.79, T l:  0.1981 | Val e:  79.81 | Test e:  81.02 
| Epoch   38 | Train e:  93.80, T l:  0.1978 | Val e:  80.78 | Test e:  82.00 
| Epoch   39 | Train e:  93.98, T l:  0.1859 | Val e:  78.10 | Test e:  82.73 
| Epoch   40 | Train e:  93.98, T l:  0.1705 | Val e:  79.08 | Test e:  80.54 
| Epoch   41 | Train e:  94.68, T l:  0.1636 | Val e:  78.59 | Test e:  79.32 
| Epoch   42 | Train e:  94.59, T l:  0.1557 | Val e:  79.81 | Test e:  79.32 
| Epoch   43 | Train e:  95.07, T l:  0.1695 | Val e:  79.32 | Test e:  81.51 
| Epoch   44 | Train e:  95.74, T l:  0.1546 | Val e:  77.86 | Test e:  82.48 
