

===============================================
2022-12-19 12:42:40

main_t.py --warmup 10 --scheduler linear --device 1

None

dataset: NCI1
use_node_attr: False
pre_transform: None
transform: None
clean_cache: False
use_public_splits: True
use_val: True
use_val_loss: True
same_best_epoch: False
early_stop: False
epochs: 100
scheduler: linear
warmup: 10
batch_size: 128
lr: 0.0001
weight_decay: 0.0001
clustering: True
tlayer_dropout: 0.1
seeds: 12344
save_state: False



| Epoch    0 | Train e:  49.57, T l:  0.8591 | Val e:  54.50 | Test e:  48.42 
| Epoch    1 | Train e:  54.05, T l:  0.6942 | Val e:  48.66 | Test e:  53.53 
| Epoch    2 | Train e:  60.16, T l:  0.6659 | Val e:  55.23 | Test e:  58.64 
| Epoch    3 | Train e:  63.05, T l:  0.6507 | Val e:  58.39 | Test e:  59.61 
| Epoch    4 | Train e:  59.85, T l:  0.6421 | Val e:  52.55 | Test e:  58.64 
| Epoch    5 | Train e:  63.08, T l:  0.6387 | Val e:  63.02 | Test e:  58.39 
| Epoch    6 | Train e:  63.20, T l:  0.6402 | Val e:  59.85 | Test e:  60.34 
| Epoch    7 | Train e:  63.53, T l:  0.6367 | Val e:  57.42 | Test e:  58.64 
| Epoch    8 | Train e:  63.35, T l:  0.6362 | Val e:  61.56 | Test e:  60.58 
| Epoch    9 | Train e:  64.17, T l:  0.6366 | Val e:  55.47 | Test e:  59.12 
| Epoch   10 | Train e:  63.63, T l:  0.6356 | Val e:  53.77 | Test e:  60.10 
| Epoch   11 | Train e:  63.50, T l:  0.6266 | Val e:  53.77 | Test e:  59.61 
| Epoch   12 | Train e:  61.28, T l:  0.6302 | Val e:  61.31 | Test e:  55.96 
| Epoch   13 | Train e:  63.78, T l:  0.6523 | Val e:  56.45 | Test e:  58.15 
| Epoch   14 | Train e:  64.96, T l:  0.6348 | Val e:  57.66 | Test e:  59.12 
| Epoch   15 | Train e:  64.36, T l:  0.6256 | Val e:  58.39 | Test e:  60.10 
| Epoch   16 | Train e:  65.57, T l:  0.6237 | Val e:  58.64 | Test e:  59.12 
| Epoch   17 | Train e:  64.11, T l:  0.6218 | Val e:  62.53 | Test e:  59.37 
| Epoch   18 | Train e:  64.48, T l:  0.6313 | Val e:  58.15 | Test e:  59.37 
| Epoch   19 | Train e:  63.75, T l:  0.6280 | Val e:  62.77 | Test e:  59.12 
| Epoch   20 | Train e:  65.02, T l:  0.6232 | Val e:  63.02 | Test e:  59.37 
| Epoch   21 | Train e:  64.57, T l:  0.6192 | Val e:  55.47 | Test e:  60.10 
| Epoch   22 | Train e:  65.27, T l:  0.6229 | Val e:  58.88 | Test e:  60.10 
| Epoch   23 | Train e:  64.20, T l:  0.6179 | Val e:  58.64 | Test e:  59.85 
| Epoch   24 | Train e:  65.02, T l:  0.6107 | Val e:  56.93 | Test e:  59.61 
| Epoch   25 | Train e:  64.75, T l:  0.6122 | Val e:  59.85 | Test e:  60.58 
| Epoch   26 | Train e:  61.92, T l:  0.6197 | Val e:  53.77 | Test e:  61.07 
| Epoch   27 | Train e:  66.97, T l:  0.6166 | Val e:  59.37 | Test e:  60.34 
| Epoch   28 | Train e:  65.75, T l:  0.6077 | Val e:  59.12 | Test e:  59.61 
| Epoch   29 | Train e:  65.63, T l:  0.6174 | Val e:  55.72 | Test e:  59.37 
| Epoch   30 | Train e:  65.30, T l:  0.6147 | Val e:  57.91 | Test e:  60.83 
| Epoch   31 | Train e:  66.42, T l:  0.6091 | Val e:  59.61 | Test e:  60.83 
| Epoch   32 | Train e:  65.63, T l:  0.6095 | Val e:  57.91 | Test e:  60.34 
| Epoch   33 | Train e:  65.05, T l:  0.6107 | Val e:  55.72 | Test e:  60.83 
| Epoch   34 | Train e:  66.03, T l:  0.6058 | Val e:  56.20 | Test e:  59.61 
| Epoch   35 | Train e:  65.72, T l:  0.6050 | Val e:  58.39 | Test e:  60.10 
| Epoch   36 | Train e:  65.42, T l:  0.6048 | Val e:  57.91 | Test e:  60.10 
