

===============================================
2022-12-24 17:00:39

main_parallel.py --warmup 10 --scheduler linear --device 0

None

dataset: NCI1
use_node_attr: False
pre_transform: None
transform: None
clean_cache: False
use_public_splits: True
use_val: True
use_val_loss: True
same_best_epoch: False
early_stop: False
epochs: 100
scheduler: linear
warmup: 10
batch_size: 128
lr: 0.0001
weight_decay: 0.0001
clustering: True
tlayer_dropout: 0.1
seeds: 12344
save_state: False



| Epoch    0 | Train e:  57.94, T l:  0.6750 | Val e:  59.61 | Test e:  57.66 
| Epoch    1 | Train e:  60.37, T l:  0.6283 | Val e:  62.53 | Test e:  60.58 
| Epoch    2 | Train e:  67.55, T l:  0.5883 | Val e:  69.10 | Test e:  69.34 
| Epoch    3 | Train e:  71.68, T l:  0.5634 | Val e:  71.53 | Test e:  71.78 
| Epoch    4 | Train e:  73.48, T l:  0.5472 | Val e:  71.53 | Test e:  71.53 
| Epoch    5 | Train e:  74.42, T l:  0.5340 | Val e:  75.67 | Test e:  76.16 
| Epoch    6 | Train e:  75.85, T l:  0.5188 | Val e:  76.89 | Test e:  76.40 
| Epoch    7 | Train e:  77.13, T l:  0.5110 | Val e:  77.86 | Test e:  76.40 
| Epoch    8 | Train e:  77.68, T l:  0.4946 | Val e:  77.62 | Test e:  76.89 
| Epoch    9 | Train e:  78.16, T l:  0.4897 | Val e:  78.59 | Test e:  76.16 
| Epoch   10 | Train e:  79.41, T l:  0.4757 | Val e:  80.05 | Test e:  76.64 
| Epoch   11 | Train e:  78.07, T l:  0.4685 | Val e:  78.10 | Test e:  78.59 
| Epoch   12 | Train e:  80.20, T l:  0.4497 | Val e:  79.56 | Test e:  77.37 
| Epoch   13 | Train e:  79.26, T l:  0.4434 | Val e:  78.83 | Test e:  77.62 
| Epoch   14 | Train e:  81.51, T l:  0.4347 | Val e:  80.78 | Test e:  78.83 
| Epoch   15 | Train e:  77.04, T l:  0.4231 | Val e:  77.62 | Test e:  74.45 
| Epoch   16 | Train e:  80.11, T l:  0.4168 | Val e:  77.86 | Test e:  73.72 
| Epoch   17 | Train e:  77.95, T l:  0.4026 | Val e:  77.62 | Test e:  75.67 
| Epoch   18 | Train e:  77.52, T l:  0.4045 | Val e:  74.45 | Test e:  70.80 
| Epoch   19 | Train e:  84.06, T l:  0.3981 | Val e:  80.78 | Test e:  80.54 
| Epoch   20 | Train e:  83.36, T l:  0.3937 | Val e:  80.05 | Test e:  78.59 
| Epoch   21 | Train e:  78.25, T l:  0.3736 | Val e:  75.67 | Test e:  76.16 
| Epoch   22 | Train e:  84.15, T l:  0.3829 | Val e:  79.32 | Test e:  78.35 
| Epoch   23 | Train e:  80.81, T l:  0.3701 | Val e:  77.37 | Test e:  76.40 
| Epoch   24 | Train e:  81.96, T l:  0.3653 | Val e:  79.32 | Test e:  77.62 
| Epoch   25 | Train e:  81.66, T l:  0.3505 | Val e:  80.05 | Test e:  75.43 
| Epoch   26 | Train e:  81.45, T l:  0.3426 | Val e:  78.35 | Test e:  76.89 
| Epoch   27 | Train e:  80.99, T l:  0.3482 | Val e:  76.64 | Test e:  74.45 
| Epoch   28 | Train e:  86.41, T l:  0.3427 | Val e:  82.00 | Test e:  81.51 
| Epoch   29 | Train e:  85.55, T l:  0.3335 | Val e:  80.29 | Test e:  79.56 
| Epoch   30 | Train e:  84.28, T l:  0.3276 | Val e:  80.29 | Test e:  79.32 
| Epoch   31 | Train e:  86.62, T l:  0.3111 | Val e:  82.00 | Test e:  77.37 
| Epoch   32 | Train e:  85.52, T l:  0.3100 | Val e:  80.78 | Test e:  82.24 
| Epoch   33 | Train e:  87.50, T l:  0.3067 | Val e:  83.21 | Test e:  79.81 
| Epoch   34 | Train e:  85.04, T l:  0.3036 | Val e:  80.78 | Test e:  77.13 
| Epoch   35 | Train e:  88.26, T l:  0.2978 | Val e:  82.00 | Test e:  80.29 
| Epoch   36 | Train e:  86.62, T l:  0.2964 | Val e:  80.78 | Test e:  82.00 
| Epoch   37 | Train e:  89.20, T l:  0.2921 | Val e:  81.75 | Test e:  79.81 
| Epoch   38 | Train e:  90.30, T l:  0.2793 | Val e:  82.48 | Test e:  81.02 
| Epoch   39 | Train e:  86.50, T l:  0.2832 | Val e:  81.75 | Test e:  77.13 
| Epoch   40 | Train e:  87.93, T l:  0.2668 | Val e:  80.29 | Test e:  79.08 
| Epoch   41 | Train e:  88.08, T l:  0.2738 | Val e:  81.75 | Test e:  80.29 
| Epoch   42 | Train e:  90.15, T l:  0.2646 | Val e:  82.73 | Test e:  81.51 
| Epoch   43 | Train e:  89.48, T l:  0.2592 | Val e:  82.00 | Test e:  80.54 
| Epoch   44 | Train e:  90.09, T l:  0.2586 | Val e:  82.24 | Test e:  81.75 
| Epoch   45 | Train e:  91.30, T l:  0.2449 | Val e:  82.73 | Test e:  82.24 
| Epoch   46 | Train e:  88.63, T l:  0.2485 | Val e:  80.29 | Test e:  80.05 
| Epoch   47 | Train e:  90.75, T l:  0.2429 | Val e:  82.24 | Test e:  83.94 
| Epoch   48 | Train e:  90.12, T l:  0.2486 | Val e:  82.00 | Test e:  81.51 
| Epoch   49 | Train e:  89.84, T l:  0.2376 | Val e:  80.78 | Test e:  79.56 
| Epoch   50 | Train e:  90.82, T l:  0.2398 | Val e:  82.24 | Test e:  82.24 
| Epoch   51 | Train e:  91.67, T l:  0.2287 | Val e:  83.21 | Test e:  81.27 
| Epoch   52 | Train e:  91.82, T l:  0.2322 | Val e:  81.75 | Test e:  82.97 
| Epoch   53 | Train e:  92.06, T l:  0.2267 | Val e:  83.94 | Test e:  82.00 
| Epoch   54 | Train e:  88.99, T l:  0.2221 | Val e:  81.27 | Test e:  82.00 
| Epoch   55 | Train e:  91.97, T l:  0.2177 | Val e:  82.48 | Test e:  81.51 
| Epoch   56 | Train e:  91.00, T l:  0.2090 | Val e:  81.51 | Test e:  82.73 
| Epoch   57 | Train e:  92.64, T l:  0.2126 | Val e:  84.67 | Test e:  81.51 
| Epoch   58 | Train e:  93.31, T l:  0.2062 | Val e:  85.40 | Test e:  82.97 
| Epoch   59 | Train e:  89.69, T l:  0.2045 | Val e:  82.73 | Test e:  82.00 
| Epoch   60 | Train e:  91.24, T l:  0.2048 | Val e:  82.73 | Test e:  78.35 
| Epoch   61 | Train e:  93.28, T l:  0.2011 | Val e:  83.94 | Test e:  81.51 
| Epoch   62 | Train e:  93.89, T l:  0.2061 | Val e:  83.70 | Test e:  82.73 
| Epoch   63 | Train e:  93.58, T l:  0.1899 | Val e:  83.21 | Test e:  82.24 
| Epoch   64 | Train e:  93.25, T l:  0.1973 | Val e:  82.24 | Test e:  81.51 
| Epoch   65 | Train e:  92.91, T l:  0.1912 | Val e:  84.43 | Test e:  82.48 
| Epoch   66 | Train e:  94.16, T l:  0.1851 | Val e:  83.45 | Test e:  82.73 
| Epoch   67 | Train e:  92.12, T l:  0.1987 | Val e:  82.24 | Test e:  81.51 
| Epoch   68 | Train e:  93.73, T l:  0.1882 | Val e:  83.70 | Test e:  83.21 
| Epoch   69 | Train e:  93.25, T l:  0.1701 | Val e:  82.73 | Test e:  81.51 
| Epoch   70 | Train e:  93.46, T l:  0.1717 | Val e:  83.21 | Test e:  82.00 
| Epoch   71 | Train e:  92.82, T l:  0.1730 | Val e:  83.94 | Test e:  79.81 
| Epoch   72 | Train e:  94.22, T l:  0.1752 | Val e:  83.94 | Test e:  82.73 
| Epoch   73 | Train e:  93.73, T l:  0.1730 | Val e:  83.21 | Test e:  81.75 
| Epoch   74 | Train e:  94.56, T l:  0.1685 | Val e:  84.43 | Test e:  83.21 
| Epoch   75 | Train e:  94.40, T l:  0.1620 | Val e:  84.67 | Test e:  82.48 
| Epoch   76 | Train e:  94.46, T l:  0.1674 | Val e:  82.24 | Test e:  81.75 
| Epoch   77 | Train e:  94.62, T l:  0.1630 | Val e:  84.18 | Test e:  82.97 
| Epoch   78 | Train e:  94.46, T l:  0.1604 | Val e:  83.94 | Test e:  82.97 
| Epoch   79 | Train e:  94.56, T l:  0.1570 | Val e:  83.70 | Test e:  83.21 
| Epoch   80 | Train e:  94.89, T l:  0.1566 | Val e:  84.67 | Test e:  82.48 
| Epoch   81 | Train e:  94.46, T l:  0.1579 | Val e:  84.43 | Test e:  82.48 
| Epoch   82 | Train e:  94.83, T l:  0.1505 | Val e:  85.40 | Test e:  82.24 
| Epoch   83 | Train e:  94.74, T l:  0.1541 | Val e:  84.43 | Test e:  82.97 
| Epoch   84 | Train e:  95.13, T l:  0.1490 | Val e:  84.18 | Test e:  81.27 
| Epoch   85 | Train e:  95.01, T l:  0.1440 | Val e:  84.18 | Test e:  82.97 
| Epoch   86 | Train e:  95.07, T l:  0.1456 | Val e:  84.43 | Test e:  82.73 
| Epoch   87 | Train e:  95.53, T l:  0.1384 | Val e:  83.70 | Test e:  82.97 
| Epoch   88 | Train e:  95.16, T l:  0.1453 | Val e:  84.18 | Test e:  83.45 
| Epoch   89 | Train e:  94.68, T l:  0.1413 | Val e:  84.18 | Test e:  83.45 
| Epoch   90 | Train e:  95.86, T l:  0.1433 | Val e:  84.43 | Test e:  83.94 
| Epoch   91 | Train e:  95.19, T l:  0.1425 | Val e:  84.67 | Test e:  83.21 
| Epoch   92 | Train e:  95.47, T l:  0.1405 | Val e:  83.70 | Test e:  82.73 
| Epoch   93 | Train e:  95.53, T l:  0.1323 | Val e:  84.91 | Test e:  83.21 
| Epoch   94 | Train e:  95.62, T l:  0.1354 | Val e:  84.18 | Test e:  84.18 
| Epoch   95 | Train e:  95.77, T l:  0.1424 | Val e:  83.21 | Test e:  83.70 
| Epoch   96 | Train e:  95.92, T l:  0.1316 | Val e:  83.70 | Test e:  83.21 
| Epoch   97 | Train e:  95.50, T l:  0.1345 | Val e:  83.70 | Test e:  83.94 
| Epoch   98 | Train e:  95.56, T l:  0.1344 | Val e:  83.45 | Test e:  82.48 
| Epoch   99 | Train e:  95.89, T l:  0.1337 | Val e:  83.21 | Test e:  82.48 
