

===============================================
2022-12-19 12:28:32

main_t.py --warmup 10 --scheduler linear --device 1

None

dataset: NCI1
use_node_attr: False
pre_transform: None
transform: None
clean_cache: False
use_public_splits: True
use_val: True
use_val_loss: True
same_best_epoch: False
early_stop: False
epochs: 100
scheduler: linear
warmup: 10
batch_size: 128
lr: 0.0001
weight_decay: 0.0001
clustering: True
tlayer_dropout: 0.1
seeds: 12344
save_state: False



| Epoch    0 | Train e:  58.58, T l:  0.7049 | Val e:  55.23 | Test e:  58.64 
| Epoch    1 | Train e:  61.07, T l:  0.6732 | Val e:  57.18 | Test e:  64.23 
| Epoch    2 | Train e:  62.71, T l:  0.6546 | Val e:  60.58 | Test e:  66.91 
| Epoch    3 | Train e:  62.59, T l:  0.6446 | Val e:  60.83 | Test e:  67.15 
| Epoch    4 | Train e:  62.68, T l:  0.6465 | Val e:  60.34 | Test e:  68.13 
| Epoch    5 | Train e:  62.53, T l:  0.6420 | Val e:  60.34 | Test e:  67.40 
| Epoch    6 | Train e:  62.86, T l:  0.6392 | Val e:  59.37 | Test e:  67.15 
| Epoch    7 | Train e:  63.47, T l:  0.6403 | Val e:  58.88 | Test e:  66.42 
| Epoch    8 | Train e:  63.59, T l:  0.6443 | Val e:  57.66 | Test e:  65.21 
| Epoch    9 | Train e:  62.74, T l:  0.6376 | Val e:  58.88 | Test e:  66.18 
| Epoch   10 | Train e:  63.41, T l:  0.6299 | Val e:  59.37 | Test e:  67.40 
| Epoch   11 | Train e:  63.87, T l:  0.6350 | Val e:  58.39 | Test e:  66.18 
| Epoch   12 | Train e:  64.14, T l:  0.6475 | Val e:  59.85 | Test e:  69.59 
| Epoch   13 | Train e:  63.47, T l:  0.6424 | Val e:  59.61 | Test e:  68.13 
| Epoch   14 | Train e:  63.56, T l:  0.6378 | Val e:  61.80 | Test e:  68.13 
| Epoch   15 | Train e:  63.50, T l:  0.6338 | Val e:  59.12 | Test e:  66.67 
| Epoch   16 | Train e:  64.20, T l:  0.6298 | Val e:  62.77 | Test e:  68.13 
| Epoch   17 | Train e:  63.90, T l:  0.6293 | Val e:  61.07 | Test e:  68.61 
| Epoch   18 | Train e:  63.53, T l:  0.6331 | Val e:  59.85 | Test e:  67.88 
| Epoch   19 | Train e:  64.45, T l:  0.6261 | Val e:  59.85 | Test e:  68.37 
| Epoch   20 | Train e:  64.11, T l:  0.6299 | Val e:  60.34 | Test e:  68.61 
| Epoch   21 | Train e:  64.17, T l:  0.6265 | Val e:  60.58 | Test e:  68.13 
| Epoch   22 | Train e:  64.26, T l:  0.6269 | Val e:  60.34 | Test e:  68.13 
| Epoch   23 | Train e:  63.23, T l:  0.6248 | Val e:  62.77 | Test e:  67.15 
| Epoch   24 | Train e:  65.02, T l:  0.6296 | Val e:  60.10 | Test e:  68.61 
| Epoch   25 | Train e:  64.14, T l:  0.6209 | Val e:  62.29 | Test e:  67.40 
| Epoch   26 | Train e:  64.90, T l:  0.6288 | Val e:  60.83 | Test e:  68.61 
| Epoch   27 | Train e:  64.57, T l:  0.6251 | Val e:  61.31 | Test e:  68.37 
| Epoch   28 | Train e:  63.96, T l:  0.6259 | Val e:  63.75 | Test e:  67.15 
| Epoch   29 | Train e:  64.51, T l:  0.6250 | Val e:  60.83 | Test e:  68.13 
| Epoch   30 | Train e:  65.85, T l:  0.6271 | Val e:  60.83 | Test e:  69.34 
| Epoch   31 | Train e:  65.45, T l:  0.6207 | Val e:  62.53 | Test e:  69.10 
| Epoch   32 | Train e:  64.72, T l:  0.6210 | Val e:  63.26 | Test e:  67.88 
| Epoch   33 | Train e:  63.47, T l:  0.6199 | Val e:  63.02 | Test e:  66.91 
| Epoch   34 | Train e:  65.05, T l:  0.6215 | Val e:  63.50 | Test e:  67.64 
| Epoch   35 | Train e:  64.42, T l:  0.6144 | Val e:  63.75 | Test e:  67.40 
| Epoch   36 | Train e:  64.66, T l:  0.6180 | Val e:  63.99 | Test e:  68.61 
| Epoch   37 | Train e:  66.33, T l:  0.6156 | Val e:  63.26 | Test e:  68.61 
| Epoch   38 | Train e:  65.42, T l:  0.6070 | Val e:  62.29 | Test e:  67.64 
| Epoch   39 | Train e:  65.42, T l:  0.6164 | Val e:  63.50 | Test e:  68.37 
| Epoch   40 | Train e:  64.96, T l:  0.6115 | Val e:  62.29 | Test e:  67.15 
| Epoch   41 | Train e:  63.96, T l:  0.6246 | Val e:  62.04 | Test e:  66.91 
| Epoch   42 | Train e:  65.21, T l:  0.6113 | Val e:  64.23 | Test e:  69.10 
| Epoch   43 | Train e:  66.09, T l:  0.6090 | Val e:  62.77 | Test e:  69.34 
| Epoch   44 | Train e:  65.88, T l:  0.6086 | Val e:  64.23 | Test e:  68.86 
| Epoch   45 | Train e:  64.99, T l:  0.6140 | Val e:  62.77 | Test e:  67.15 
| Epoch   46 | Train e:  66.73, T l:  0.6124 | Val e:  63.02 | Test e:  69.34 
| Epoch   47 | Train e:  66.21, T l:  0.6066 | Val e:  63.26 | Test e:  69.10 
| Epoch   48 | Train e:  65.88, T l:  0.6101 | Val e:  65.21 | Test e:  69.10 
| Epoch   49 | Train e:  66.73, T l:  0.6064 | Val e:  64.23 | Test e:  69.34 
| Epoch   50 | Train e:  65.63, T l:  0.6069 | Val e:  62.77 | Test e:  67.88 
| Epoch   51 | Train e:  66.79, T l:  0.6053 | Val e:  63.50 | Test e:  69.34 
| Epoch   52 | Train e:  65.78, T l:  0.6051 | Val e:  64.72 | Test e:  68.61 
| Epoch   53 | Train e:  66.48, T l:  0.6077 | Val e:  63.75 | Test e:  68.61 
| Epoch   54 | Train e:  65.94, T l:  0.6077 | Val e:  63.50 | Test e:  68.61 
| Epoch   55 | Train e:  66.24, T l:  0.6004 | Val e:  63.50 | Test e:  69.34 
| Epoch   56 | Train e:  67.18, T l:  0.6041 | Val e:  63.26 | Test e:  68.86 
| Epoch   57 | Train e:  66.51, T l:  0.6038 | Val e:  63.75 | Test e:  69.34 
| Epoch   58 | Train e:  66.76, T l:  0.6119 | Val e:  63.75 | Test e:  70.56 
| Epoch   59 | Train e:  66.91, T l:  0.6013 | Val e:  63.99 | Test e:  68.86 
| Epoch   60 | Train e:  66.82, T l:  0.6039 | Val e:  64.23 | Test e:  68.86 
| Epoch   61 | Train e:  65.39, T l:  0.6075 | Val e:  63.50 | Test e:  67.64 
| Epoch   62 | Train e:  66.58, T l:  0.6018 | Val e:  63.75 | Test e:  69.34 
| Epoch   63 | Train e:  68.25, T l:  0.6088 | Val e:  64.72 | Test e:  69.83 
| Epoch   64 | Train e:  67.49, T l:  0.6003 | Val e:  63.75 | Test e:  69.10 
| Epoch   65 | Train e:  66.67, T l:  0.5967 | Val e:  64.23 | Test e:  69.34 
| Epoch   66 | Train e:  66.88, T l:  0.6011 | Val e:  64.72 | Test e:  69.10 
| Epoch   67 | Train e:  66.97, T l:  0.5997 | Val e:  63.75 | Test e:  70.07 
| Epoch   68 | Train e:  67.58, T l:  0.5982 | Val e:  64.96 | Test e:  69.34 
| Epoch   69 | Train e:  67.24, T l:  0.5975 | Val e:  64.48 | Test e:  69.59 
| Epoch   70 | Train e:  68.67, T l:  0.5950 | Val e:  63.99 | Test e:  69.59 
| Epoch   71 | Train e:  67.64, T l:  0.6021 | Val e:  64.23 | Test e:  70.07 
| Epoch   72 | Train e:  67.18, T l:  0.5963 | Val e:  63.75 | Test e:  69.34 
| Epoch   73 | Train e:  67.67, T l:  0.5947 | Val e:  63.99 | Test e:  69.10 
| Epoch   74 | Train e:  68.55, T l:  0.5970 | Val e:  64.48 | Test e:  70.07 
| Epoch   75 | Train e:  67.64, T l:  0.5942 | Val e:  65.69 | Test e:  68.61 
| Epoch   76 | Train e:  68.49, T l:  0.5954 | Val e:  63.75 | Test e:  70.80 
