

===============================================
2022-12-19 12:19:58

main_t.py --warmup 10 --scheduler linear --device 1

None

dataset: NCI1
use_node_attr: False
pre_transform: None
transform: None
clean_cache: False
use_public_splits: True
use_val: True
use_val_loss: True
same_best_epoch: False
early_stop: False
epochs: 100
scheduler: linear
warmup: 10
batch_size: 128
lr: 0.0001
weight_decay: 0.0001
clustering: True
tlayer_dropout: 0.1
seeds: 12344
save_state: False



| Epoch    0 | Train e:  58.18, T l:  0.6874 | Val e:  54.74 | Test e:  58.64 
| Epoch    1 | Train e:  62.01, T l:  0.6680 | Val e:  59.37 | Test e:  59.12 
| Epoch    2 | Train e:  62.32, T l:  0.6490 | Val e:  63.02 | Test e:  60.10 
| Epoch    3 | Train e:  62.35, T l:  0.6433 | Val e:  59.85 | Test e:  60.83 
| Epoch    4 | Train e:  62.26, T l:  0.6396 | Val e:  61.80 | Test e:  60.58 
| Epoch    5 | Train e:  62.65, T l:  0.6409 | Val e:  62.29 | Test e:  60.58 
| Epoch    6 | Train e:  61.62, T l:  0.6379 | Val e:  63.75 | Test e:  58.88 
| Epoch    7 | Train e:  63.11, T l:  0.6401 | Val e:  60.10 | Test e:  61.56 
| Epoch    8 | Train e:  63.72, T l:  0.6375 | Val e:  60.83 | Test e:  62.53 
| Epoch    9 | Train e:  61.37, T l:  0.6412 | Val e:  63.75 | Test e:  57.91 
| Epoch   10 | Train e:  62.20, T l:  0.6404 | Val e:  58.39 | Test e:  63.50 
| Epoch   11 | Train e:  62.80, T l:  0.6377 | Val e:  60.34 | Test e:  62.29 
| Epoch   12 | Train e:  63.53, T l:  0.6349 | Val e:  63.50 | Test e:  62.04 
| Epoch   13 | Train e:  63.44, T l:  0.6317 | Val e:  63.50 | Test e:  61.56 
| Epoch   14 | Train e:  63.11, T l:  0.6351 | Val e:  63.50 | Test e:  60.34 
| Epoch   15 | Train e:  60.95, T l:  0.6373 | Val e:  55.47 | Test e:  61.80 
| Epoch   16 | Train e:  62.68, T l:  0.6400 | Val e:  63.26 | Test e:  60.10 
| Epoch   17 | Train e:  63.53, T l:  0.6292 | Val e:  62.29 | Test e:  62.53 
| Epoch   18 | Train e:  64.11, T l:  0.6385 | Val e:  63.99 | Test e:  61.56 
| Epoch   19 | Train e:  65.15, T l:  0.6288 | Val e:  60.83 | Test e:  62.29 
| Epoch   20 | Train e:  63.84, T l:  0.6275 | Val e:  63.26 | Test e:  62.77 
| Epoch   21 | Train e:  63.87, T l:  0.6207 | Val e:  63.50 | Test e:  62.04 
| Epoch   22 | Train e:  64.66, T l:  0.6280 | Val e:  61.07 | Test e:  62.53 
| Epoch   23 | Train e:  64.08, T l:  0.6275 | Val e:  64.72 | Test e:  62.53 
| Epoch   24 | Train e:  62.68, T l:  0.6254 | Val e:  60.34 | Test e:  62.53 
| Epoch   25 | Train e:  63.99, T l:  0.6226 | Val e:  61.31 | Test e:  62.77 
| Epoch   26 | Train e:  64.39, T l:  0.6168 | Val e:  60.58 | Test e:  63.50 
| Epoch   27 | Train e:  66.06, T l:  0.6214 | Val e:  60.58 | Test e:  63.26 
| Epoch   28 | Train e:  64.45, T l:  0.6207 | Val e:  64.48 | Test e:  62.29 
| Epoch   29 | Train e:  65.91, T l:  0.6204 | Val e:  62.04 | Test e:  63.99 
| Epoch   30 | Train e:  65.30, T l:  0.6215 | Val e:  63.75 | Test e:  64.72 
| Epoch   31 | Train e:  65.39, T l:  0.6166 | Val e:  63.26 | Test e:  63.26 
| Epoch   32 | Train e:  63.69, T l:  0.6179 | Val e:  61.56 | Test e:  63.26 
| Epoch   33 | Train e:  64.05, T l:  0.6197 | Val e:  58.64 | Test e:  63.75 
| Epoch   34 | Train e:  65.05, T l:  0.6181 | Val e:  63.99 | Test e:  64.72 
| Epoch   35 | Train e:  65.24, T l:  0.6140 | Val e:  63.02 | Test e:  63.50 
| Epoch   36 | Train e:  65.63, T l:  0.6148 | Val e:  64.48 | Test e:  63.75 
| Epoch   37 | Train e:  65.82, T l:  0.6151 | Val e:  64.48 | Test e:  63.02 
| Epoch   38 | Train e:  66.09, T l:  0.6134 | Val e:  63.99 | Test e:  62.53 
| Epoch   39 | Train e:  65.75, T l:  0.6101 | Val e:  64.23 | Test e:  64.48 
| Epoch   40 | Train e:  66.06, T l:  0.6080 | Val e:  63.50 | Test e:  65.21 
| Epoch   41 | Train e:  66.76, T l:  0.6028 | Val e:  63.75 | Test e:  64.96 
| Epoch   42 | Train e:  65.91, T l:  0.6013 | Val e:  63.75 | Test e:  64.48 
