

===============================================
2022-12-19 12:24:13

main_t.py --warmup 10 --scheduler linear --device 1

None

dataset: NCI1
use_node_attr: False
pre_transform: None
transform: None
clean_cache: False
use_public_splits: True
use_val: True
use_val_loss: True
same_best_epoch: False
early_stop: False
epochs: 100
scheduler: linear
warmup: 10
batch_size: 128
lr: 0.0001
weight_decay: 0.0001
clustering: True
tlayer_dropout: 0.1
seeds: 12344
save_state: False



| Epoch    0 | Train e:  54.81, T l:  0.6962 | Val e:  52.80 | Test e:  54.74 
| Epoch    1 | Train e:  62.10, T l:  0.6680 | Val e:  61.07 | Test e:  62.04 
| Epoch    2 | Train e:  62.35, T l:  0.6468 | Val e:  64.48 | Test e:  62.53 
| Epoch    3 | Train e:  62.62, T l:  0.6457 | Val e:  63.26 | Test e:  62.29 
| Epoch    4 | Train e:  61.86, T l:  0.6450 | Val e:  64.23 | Test e:  63.50 
| Epoch    5 | Train e:  62.17, T l:  0.6487 | Val e:  63.02 | Test e:  63.26 
| Epoch    6 | Train e:  61.92, T l:  0.6435 | Val e:  61.31 | Test e:  61.56 
| Epoch    7 | Train e:  61.47, T l:  0.6467 | Val e:  63.02 | Test e:  62.29 
| Epoch    8 | Train e:  62.04, T l:  0.6426 | Val e:  60.10 | Test e:  60.34 
| Epoch    9 | Train e:  62.59, T l:  0.6499 | Val e:  65.21 | Test e:  63.99 
| Epoch   10 | Train e:  63.29, T l:  0.6359 | Val e:  63.50 | Test e:  63.02 
| Epoch   11 | Train e:  61.71, T l:  0.6385 | Val e:  60.83 | Test e:  60.83 
| Epoch   12 | Train e:  63.14, T l:  0.6365 | Val e:  63.26 | Test e:  63.50 
| Epoch   13 | Train e:  62.74, T l:  0.6387 | Val e:  64.72 | Test e:  64.72 
| Epoch   14 | Train e:  63.72, T l:  0.6318 | Val e:  63.75 | Test e:  64.72 
| Epoch   15 | Train e:  64.20, T l:  0.6356 | Val e:  63.99 | Test e:  64.72 
| Epoch   16 | Train e:  62.47, T l:  0.6299 | Val e:  62.29 | Test e:  60.83 
| Epoch   17 | Train e:  64.42, T l:  0.6299 | Val e:  65.21 | Test e:  64.96 
| Epoch   18 | Train e:  62.80, T l:  0.6293 | Val e:  63.50 | Test e:  64.72 
| Epoch   19 | Train e:  61.25, T l:  0.6350 | Val e:  63.02 | Test e:  59.12 
| Epoch   20 | Train e:  63.53, T l:  0.6319 | Val e:  64.96 | Test e:  64.72 
| Epoch   21 | Train e:  64.17, T l:  0.6296 | Val e:  63.75 | Test e:  64.48 
| Epoch   22 | Train e:  62.99, T l:  0.6233 | Val e:  63.50 | Test e:  65.21 
| Epoch   23 | Train e:  64.60, T l:  0.6250 | Val e:  64.23 | Test e:  65.21 
| Epoch   24 | Train e:  63.90, T l:  0.6295 | Val e:  63.75 | Test e:  63.26 
| Epoch   25 | Train e:  64.11, T l:  0.6279 | Val e:  64.48 | Test e:  65.21 
| Epoch   26 | Train e:  62.86, T l:  0.6214 | Val e:  62.29 | Test e:  61.56 
| Epoch   27 | Train e:  63.44, T l:  0.6263 | Val e:  63.26 | Test e:  62.53 
| Epoch   28 | Train e:  64.66, T l:  0.6267 | Val e:  64.96 | Test e:  64.72 
| Epoch   29 | Train e:  64.17, T l:  0.6236 | Val e:  63.99 | Test e:  63.50 
| Epoch   30 | Train e:  64.05, T l:  0.6264 | Val e:  63.99 | Test e:  63.75 
| Epoch   31 | Train e:  63.38, T l:  0.6265 | Val e:  63.99 | Test e:  65.69 
| Epoch   32 | Train e:  63.38, T l:  0.6232 | Val e:  64.23 | Test e:  65.69 
| Epoch   33 | Train e:  65.24, T l:  0.6205 | Val e:  65.45 | Test e:  65.21 
| Epoch   34 | Train e:  65.12, T l:  0.6229 | Val e:  65.21 | Test e:  65.45 
| Epoch   35 | Train e:  65.18, T l:  0.6202 | Val e:  64.96 | Test e:  65.94 
| Epoch   36 | Train e:  65.48, T l:  0.6218 | Val e:  64.72 | Test e:  66.42 
| Epoch   37 | Train e:  64.84, T l:  0.6198 | Val e:  64.23 | Test e:  63.02 
| Epoch   38 | Train e:  65.15, T l:  0.6250 | Val e:  63.75 | Test e:  66.18 
| Epoch   39 | Train e:  65.72, T l:  0.6182 | Val e:  64.96 | Test e:  66.42 
| Epoch   40 | Train e:  65.39, T l:  0.6158 | Val e:  64.96 | Test e:  66.18 
| Epoch   41 | Train e:  66.06, T l:  0.6170 | Val e:  67.15 | Test e:  65.45 
