

===============================================
2022-12-19 11:34:35

main_gnnt.py --warmup 10 --scheduler linear --device 0

None

dataset: NCI1
use_node_attr: False
pre_transform: None
transform: None
clean_cache: False
use_public_splits: True
use_val: True
use_val_loss: True
same_best_epoch: False
early_stop: False
epochs: 100
scheduler: linear
warmup: 10
batch_size: 128
lr: 0.0001
weight_decay: 0.0001
clustering: True
tlayer_dropout: 0.1
seeds: 12344
save_state: False



| Epoch    0 | Train e:  49.60, T l:  0.7195 | Val e:  52.07 | Test e:  50.12 
| Epoch    1 | Train e:  54.08, T l:  0.6569 | Val e:  53.53 | Test e:  53.28 
| Epoch    2 | Train e:  64.29, T l:  0.6017 | Val e:  61.31 | Test e:  62.29 
| Epoch    3 | Train e:  73.75, T l:  0.5589 | Val e:  68.13 | Test e:  73.48 
| Epoch    4 | Train e:  77.89, T l:  0.5297 | Val e:  73.24 | Test e:  73.48 
| Epoch    5 | Train e:  77.49, T l:  0.4968 | Val e:  74.45 | Test e:  75.18 
| Epoch    6 | Train e:  79.71, T l:  0.4796 | Val e:  77.37 | Test e:  76.40 
| Epoch    7 | Train e:  75.49, T l:  0.4540 | Val e:  70.56 | Test e:  72.26 
| Epoch    8 | Train e:  77.92, T l:  0.4335 | Val e:  75.67 | Test e:  74.45 
| Epoch    9 | Train e:  78.25, T l:  0.4196 | Val e:  73.97 | Test e:  74.45 
| Epoch   10 | Train e:  80.84, T l:  0.4357 | Val e:  76.40 | Test e:  73.48 
| Epoch   11 | Train e:  79.05, T l:  0.4057 | Val e:  74.94 | Test e:  77.62 
| Epoch   12 | Train e:  83.73, T l:  0.3926 | Val e:  81.51 | Test e:  79.08 
| Epoch   13 | Train e:  85.80, T l:  0.3692 | Val e:  80.54 | Test e:  80.54 
| Epoch   14 | Train e:  80.84, T l:  0.3645 | Val e:  76.16 | Test e:  80.05 
| Epoch   15 | Train e:  83.67, T l:  0.3494 | Val e:  80.78 | Test e:  75.91 
| Epoch   16 | Train e:  86.04, T l:  0.3291 | Val e:  78.83 | Test e:  77.86 
| Epoch   17 | Train e:  85.31, T l:  0.3352 | Val e:  77.37 | Test e:  79.32 
| Epoch   18 | Train e:  84.52, T l:  0.3231 | Val e:  79.56 | Test e:  77.37 
| Epoch   19 | Train e:  88.84, T l:  0.3026 | Val e:  82.73 | Test e:  79.56 
| Epoch   20 | Train e:  89.87, T l:  0.2967 | Val e:  82.73 | Test e:  78.83 
| Epoch   21 | Train e:  87.41, T l:  0.2836 | Val e:  80.29 | Test e:  77.86 
| Epoch   22 | Train e:  87.93, T l:  0.2753 | Val e:  78.35 | Test e:  79.08 
| Epoch   23 | Train e:  87.53, T l:  0.2860 | Val e:  80.78 | Test e:  76.89 
| Epoch   24 | Train e:  88.99, T l:  0.2891 | Val e:  78.35 | Test e:  79.08 
| Epoch   25 | Train e:  89.32, T l:  0.2686 | Val e:  81.51 | Test e:  77.37 
| Epoch   26 | Train e:  90.66, T l:  0.2426 | Val e:  82.97 | Test e:  76.89 
| Epoch   27 | Train e:  89.87, T l:  0.2354 | Val e:  79.32 | Test e:  79.32 
| Epoch   28 | Train e:  91.82, T l:  0.2384 | Val e:  82.00 | Test e:  78.10 
| Epoch   29 | Train e:  91.73, T l:  0.2292 | Val e:  82.48 | Test e:  79.81 
| Epoch   30 | Train e:  89.08, T l:  0.2132 | Val e:  79.08 | Test e:  74.70 
| Epoch   31 | Train e:  91.82, T l:  0.2000 | Val e:  81.02 | Test e:  78.35 
| Epoch   32 | Train e:  91.82, T l:  0.2148 | Val e:  81.02 | Test e:  80.54 
| Epoch   33 | Train e:  88.35, T l:  0.2003 | Val e:  79.32 | Test e:  80.29 
| Epoch   34 | Train e:  92.27, T l:  0.2126 | Val e:  81.51 | Test e:  80.29 
