

===============================================
2022-12-19 12:30:32

main_t.py --warmup 10 --scheduler linear --device 1

None

dataset: NCI1
use_node_attr: False
pre_transform: None
transform: None
clean_cache: False
use_public_splits: True
use_val: True
use_val_loss: True
same_best_epoch: False
early_stop: False
epochs: 100
scheduler: linear
warmup: 10
batch_size: 128
lr: 0.0001
weight_decay: 0.0001
clustering: True
tlayer_dropout: 0.1
seeds: 12344
save_state: False



| Epoch    0 | Train e:  59.49, T l:  0.6958 | Val e:  59.61 | Test e:  66.18 
| Epoch    1 | Train e:  60.77, T l:  0.6669 | Val e:  58.64 | Test e:  61.07 
| Epoch    2 | Train e:  61.19, T l:  0.6507 | Val e:  62.04 | Test e:  65.21 
| Epoch    3 | Train e:  61.65, T l:  0.6534 | Val e:  63.26 | Test e:  65.21 
| Epoch    4 | Train e:  60.43, T l:  0.6451 | Val e:  61.31 | Test e:  65.21 
| Epoch    5 | Train e:  62.77, T l:  0.6401 | Val e:  63.75 | Test e:  63.99 
| Epoch    6 | Train e:  62.20, T l:  0.6426 | Val e:  59.37 | Test e:  61.80 
| Epoch    7 | Train e:  62.56, T l:  0.6408 | Val e:  62.29 | Test e:  64.23 
| Epoch    8 | Train e:  63.75, T l:  0.6364 | Val e:  62.53 | Test e:  63.99 
| Epoch    9 | Train e:  63.59, T l:  0.6360 | Val e:  60.58 | Test e:  62.77 
| Epoch   10 | Train e:  64.17, T l:  0.6408 | Val e:  59.85 | Test e:  61.31 
| Epoch   11 | Train e:  63.93, T l:  0.6409 | Val e:  60.34 | Test e:  62.29 
| Epoch   12 | Train e:  63.32, T l:  0.6384 | Val e:  64.23 | Test e:  64.48 
| Epoch   13 | Train e:  65.09, T l:  0.6330 | Val e:  62.29 | Test e:  63.75 
| Epoch   14 | Train e:  62.65, T l:  0.6279 | Val e:  64.72 | Test e:  64.96 
| Epoch   15 | Train e:  64.32, T l:  0.6267 | Val e:  63.99 | Test e:  64.48 
| Epoch   16 | Train e:  64.20, T l:  0.6335 | Val e:  60.58 | Test e:  62.29 
| Epoch   17 | Train e:  63.59, T l:  0.6383 | Val e:  60.58 | Test e:  62.77 
| Epoch   18 | Train e:  63.93, T l:  0.6340 | Val e:  60.34 | Test e:  62.29 
| Epoch   19 | Train e:  64.42, T l:  0.6353 | Val e:  60.83 | Test e:  63.02 
| Epoch   20 | Train e:  63.56, T l:  0.6287 | Val e:  61.31 | Test e:  61.80 
| Epoch   21 | Train e:  64.05, T l:  0.6271 | Val e:  62.77 | Test e:  63.50 
| Epoch   22 | Train e:  63.69, T l:  0.6263 | Val e:  60.58 | Test e:  62.04 
| Epoch   23 | Train e:  64.05, T l:  0.6312 | Val e:  63.50 | Test e:  63.99 
| Epoch   24 | Train e:  63.78, T l:  0.6307 | Val e:  63.99 | Test e:  64.48 
| Epoch   25 | Train e:  64.48, T l:  0.6251 | Val e:  64.48 | Test e:  63.99 
| Epoch   26 | Train e:  65.18, T l:  0.6278 | Val e:  62.77 | Test e:  63.99 
| Epoch   27 | Train e:  63.72, T l:  0.6224 | Val e:  64.72 | Test e:  68.13 
| Epoch   28 | Train e:  64.26, T l:  0.6247 | Val e:  63.02 | Test e:  64.48 
| Epoch   29 | Train e:  63.59, T l:  0.6262 | Val e:  59.85 | Test e:  61.56 
| Epoch   30 | Train e:  65.02, T l:  0.6287 | Val e:  60.58 | Test e:  63.02 
| Epoch   31 | Train e:  64.63, T l:  0.6204 | Val e:  60.58 | Test e:  62.04 
| Epoch   32 | Train e:  64.99, T l:  0.6264 | Val e:  61.07 | Test e:  63.26 
| Epoch   33 | Train e:  63.84, T l:  0.6259 | Val e:  64.96 | Test e:  67.40 
| Epoch   34 | Train e:  64.51, T l:  0.6247 | Val e:  64.23 | Test e:  64.48 
| Epoch   35 | Train e:  64.63, T l:  0.6262 | Val e:  58.88 | Test e:  63.50 
| Epoch   36 | Train e:  64.20, T l:  0.6242 | Val e:  60.34 | Test e:  63.02 
| Epoch   37 | Train e:  64.54, T l:  0.6237 | Val e:  59.61 | Test e:  63.26 
| Epoch   38 | Train e:  65.54, T l:  0.6199 | Val e:  61.07 | Test e:  64.23 
| Epoch   39 | Train e:  64.17, T l:  0.6187 | Val e:  62.53 | Test e:  63.75 
| Epoch   40 | Train e:  65.27, T l:  0.6212 | Val e:  59.12 | Test e:  63.50 
| Epoch   41 | Train e:  65.48, T l:  0.6166 | Val e:  59.85 | Test e:  64.23 
| Epoch   42 | Train e:  65.09, T l:  0.6121 | Val e:  58.64 | Test e:  64.48 
| Epoch   43 | Train e:  65.36, T l:  0.6119 | Val e:  65.69 | Test e:  66.67 
| Epoch   44 | Train e:  65.15, T l:  0.6126 | Val e:  65.45 | Test e:  65.69 
| Epoch   45 | Train e:  66.06, T l:  0.6163 | Val e:  61.56 | Test e:  65.21 
| Epoch   46 | Train e:  65.85, T l:  0.6094 | Val e:  60.83 | Test e:  64.23 
| Epoch   47 | Train e:  64.96, T l:  0.6095 | Val e:  59.37 | Test e:  63.99 
| Epoch   48 | Train e:  65.39, T l:  0.6088 | Val e:  59.85 | Test e:  63.99 
| Epoch   49 | Train e:  65.66, T l:  0.6172 | Val e:  62.53 | Test e:  65.94 
| Epoch   50 | Train e:  66.27, T l:  0.6099 | Val e:  60.83 | Test e:  64.23 
| Epoch   51 | Train e:  65.88, T l:  0.6069 | Val e:  65.45 | Test e:  65.94 
| Epoch   52 | Train e:  66.30, T l:  0.6110 | Val e:  61.80 | Test e:  65.69 
| Epoch   53 | Train e:  65.72, T l:  0.6117 | Val e:  60.58 | Test e:  65.21 
| Epoch   54 | Train e:  66.12, T l:  0.6101 | Val e:  61.07 | Test e:  65.69 
| Epoch   55 | Train e:  66.24, T l:  0.6049 | Val e:  60.34 | Test e:  65.45 
| Epoch   56 | Train e:  66.48, T l:  0.6076 | Val e:  60.10 | Test e:  62.77 
| Epoch   57 | Train e:  65.91, T l:  0.6026 | Val e:  59.61 | Test e:  63.26 
| Epoch   58 | Train e:  65.97, T l:  0.6122 | Val e:  63.99 | Test e:  66.18 
| Epoch   59 | Train e:  66.73, T l:  0.6119 | Val e:  61.31 | Test e:  66.18 
| Epoch   60 | Train e:  66.76, T l:  0.6013 | Val e:  61.56 | Test e:  66.67 
| Epoch   61 | Train e:  65.54, T l:  0.5999 | Val e:  60.58 | Test e:  65.21 
| Epoch   62 | Train e:  66.18, T l:  0.6022 | Val e:  61.07 | Test e:  66.42 
| Epoch   63 | Train e:  66.67, T l:  0.6015 | Val e:  60.58 | Test e:  66.67 
| Epoch   64 | Train e:  66.24, T l:  0.6065 | Val e:  64.72 | Test e:  65.69 
| Epoch   65 | Train e:  66.33, T l:  0.6029 | Val e:  64.96 | Test e:  66.18 
| Epoch   66 | Train e:  67.03, T l:  0.6025 | Val e:  62.04 | Test e:  67.88 
| Epoch   67 | Train e:  66.70, T l:  0.6000 | Val e:  62.29 | Test e:  67.15 
| Epoch   68 | Train e:  65.75, T l:  0.6031 | Val e:  60.34 | Test e:  62.53 
| Epoch   69 | Train e:  66.97, T l:  0.6027 | Val e:  62.29 | Test e:  68.13 
| Epoch   70 | Train e:  67.00, T l:  0.6032 | Val e:  62.77 | Test e:  68.37 
| Epoch   71 | Train e:  66.70, T l:  0.6000 | Val e:  62.29 | Test e:  67.64 
| Epoch   72 | Train e:  66.45, T l:  0.5954 | Val e:  61.07 | Test e:  64.96 
| Epoch   73 | Train e:  67.85, T l:  0.5994 | Val e:  62.29 | Test e:  67.64 
| Epoch   74 | Train e:  66.15, T l:  0.5960 | Val e:  63.02 | Test e:  66.67 
| Epoch   75 | Train e:  66.79, T l:  0.5943 | Val e:  61.56 | Test e:  66.67 
