

===============================================
2022-12-19 12:07:28

main_t.py --warmup 10 --scheduler linear --device 1

None

dataset: NCI1
use_node_attr: False
pre_transform: None
transform: None
clean_cache: False
use_public_splits: True
use_val: True
use_val_loss: True
same_best_epoch: False
early_stop: False
epochs: 100
scheduler: linear
warmup: 10
batch_size: 128
lr: 0.0001
weight_decay: 0.0001
clustering: True
tlayer_dropout: 0.1
seeds: 12344
save_state: False



| Epoch    0 | Train e:  42.03, T l:  0.7539 | Val e:  46.23 | Test e:  41.85 
| Epoch    1 | Train e:  60.55, T l:  0.6920 | Val e:  59.85 | Test e:  63.99 
| Epoch    2 | Train e:  62.32, T l:  0.6570 | Val e:  59.37 | Test e:  65.21 
| Epoch    3 | Train e:  61.83, T l:  0.6459 | Val e:  59.37 | Test e:  64.72 
| Epoch    4 | Train e:  61.47, T l:  0.6425 | Val e:  55.72 | Test e:  63.26 
| Epoch    5 | Train e:  62.01, T l:  0.6503 | Val e:  61.56 | Test e:  65.45 
| Epoch    6 | Train e:  61.25, T l:  0.6398 | Val e:  61.31 | Test e:  63.26 
| Epoch    7 | Train e:  63.14, T l:  0.6482 | Val e:  58.64 | Test e:  65.21 
| Epoch    8 | Train e:  59.88, T l:  0.6527 | Val e:  54.74 | Test e:  61.07 
| Epoch    9 | Train e:  63.02, T l:  0.6445 | Val e:  58.39 | Test e:  65.45 
| Epoch   10 | Train e:  62.90, T l:  0.6390 | Val e:  60.10 | Test e:  65.45 
| Epoch   11 | Train e:  62.96, T l:  0.6387 | Val e:  57.91 | Test e:  67.88 
| Epoch   12 | Train e:  60.61, T l:  0.6410 | Val e:  62.53 | Test e:  64.48 
| Epoch   13 | Train e:  63.26, T l:  0.6366 | Val e:  58.39 | Test e:  65.94 
| Epoch   14 | Train e:  62.62, T l:  0.6336 | Val e:  58.39 | Test e:  65.94 
| Epoch   15 | Train e:  63.50, T l:  0.6353 | Val e:  58.64 | Test e:  65.94 
| Epoch   16 | Train e:  62.56, T l:  0.6307 | Val e:  57.42 | Test e:  65.94 
| Epoch   17 | Train e:  64.48, T l:  0.6418 | Val e:  58.64 | Test e:  68.37 
| Epoch   18 | Train e:  64.45, T l:  0.6361 | Val e:  58.39 | Test e:  65.69 
| Epoch   19 | Train e:  64.29, T l:  0.6313 | Val e:  58.39 | Test e:  68.37 
| Epoch   20 | Train e:  63.08, T l:  0.6347 | Val e:  61.80 | Test e:  67.40 
| Epoch   21 | Train e:  61.95, T l:  0.6382 | Val e:  56.20 | Test e:  63.26 
| Epoch   22 | Train e:  63.63, T l:  0.6334 | Val e:  58.88 | Test e:  65.94 
| Epoch   23 | Train e:  62.86, T l:  0.6323 | Val e:  62.04 | Test e:  67.15 
| Epoch   24 | Train e:  64.26, T l:  0.6327 | Val e:  58.64 | Test e:  68.61 
| Epoch   25 | Train e:  63.75, T l:  0.6298 | Val e:  60.10 | Test e:  66.91 
| Epoch   26 | Train e:  63.66, T l:  0.6384 | Val e:  57.91 | Test e:  68.86 
| Epoch   27 | Train e:  64.17, T l:  0.6294 | Val e:  58.64 | Test e:  65.94 
| Epoch   28 | Train e:  64.36, T l:  0.6237 | Val e:  59.12 | Test e:  66.91 
| Epoch   29 | Train e:  63.23, T l:  0.6344 | Val e:  59.85 | Test e:  67.88 
| Epoch   30 | Train e:  64.39, T l:  0.6339 | Val e:  58.88 | Test e:  66.91 
| Epoch   31 | Train e:  63.32, T l:  0.6291 | Val e:  58.15 | Test e:  68.37 
| Epoch   32 | Train e:  64.29, T l:  0.6286 | Val e:  59.61 | Test e:  68.86 
| Epoch   33 | Train e:  64.05, T l:  0.6326 | Val e:  59.37 | Test e:  68.61 
| Epoch   34 | Train e:  64.29, T l:  0.6261 | Val e:  58.64 | Test e:  66.67 
| Epoch   35 | Train e:  63.87, T l:  0.6230 | Val e:  60.83 | Test e:  68.86 
| Epoch   36 | Train e:  64.84, T l:  0.6237 | Val e:  59.61 | Test e:  69.59 
| Epoch   37 | Train e:  64.20, T l:  0.6274 | Val e:  58.39 | Test e:  67.15 
| Epoch   38 | Train e:  64.63, T l:  0.6308 | Val e:  59.37 | Test e:  69.83 
| Epoch   39 | Train e:  63.99, T l:  0.6230 | Val e:  59.85 | Test e:  68.13 
| Epoch   40 | Train e:  63.75, T l:  0.6225 | Val e:  59.61 | Test e:  68.37 
| Epoch   41 | Train e:  65.18, T l:  0.6239 | Val e:  60.83 | Test e:  70.32 
| Epoch   42 | Train e:  64.96, T l:  0.6247 | Val e:  61.07 | Test e:  68.61 
| Epoch   43 | Train e:  63.11, T l:  0.6201 | Val e:  61.31 | Test e:  67.88 
| Epoch   44 | Train e:  63.93, T l:  0.6228 | Val e:  60.34 | Test e:  70.32 
| Epoch   45 | Train e:  63.99, T l:  0.6197 | Val e:  60.58 | Test e:  68.61 
| Epoch   46 | Train e:  64.32, T l:  0.6170 | Val e:  61.31 | Test e:  68.86 
| Epoch   47 | Train e:  64.69, T l:  0.6182 | Val e:  60.83 | Test e:  70.07 
| Epoch   48 | Train e:  64.96, T l:  0.6262 | Val e:  59.61 | Test e:  68.86 
| Epoch   49 | Train e:  64.75, T l:  0.6186 | Val e:  61.80 | Test e:  70.07 
| Epoch   50 | Train e:  64.72, T l:  0.6170 | Val e:  62.04 | Test e:  68.37 
| Epoch   51 | Train e:  65.24, T l:  0.6209 | Val e:  61.56 | Test e:  69.10 
| Epoch   52 | Train e:  64.90, T l:  0.6156 | Val e:  60.58 | Test e:  68.86 
| Epoch   53 | Train e:  64.57, T l:  0.6237 | Val e:  61.07 | Test e:  68.37 
| Epoch   54 | Train e:  64.93, T l:  0.6159 | Val e:  61.31 | Test e:  70.32 
| Epoch   55 | Train e:  65.85, T l:  0.6206 | Val e:  61.80 | Test e:  69.10 
| Epoch   56 | Train e:  65.27, T l:  0.6181 | Val e:  62.04 | Test e:  69.34 
| Epoch   57 | Train e:  65.39, T l:  0.6127 | Val e:  61.31 | Test e:  69.59 
| Epoch   58 | Train e:  64.87, T l:  0.6177 | Val e:  59.85 | Test e:  68.61 
| Epoch   59 | Train e:  65.36, T l:  0.6198 | Val e:  60.83 | Test e:  66.42 
| Epoch   60 | Train e:  65.33, T l:  0.6142 | Val e:  60.34 | Test e:  66.42 
| Epoch   61 | Train e:  65.02, T l:  0.6140 | Val e:  62.29 | Test e:  69.83 
| Epoch   62 | Train e:  65.45, T l:  0.6125 | Val e:  62.29 | Test e:  68.86 
| Epoch   63 | Train e:  64.72, T l:  0.6104 | Val e:  61.56 | Test e:  70.07 
| Epoch   64 | Train e:  65.54, T l:  0.6176 | Val e:  62.53 | Test e:  69.59 
| Epoch   65 | Train e:  64.90, T l:  0.6118 | Val e:  62.04 | Test e:  69.34 
| Epoch   66 | Train e:  64.29, T l:  0.6160 | Val e:  62.77 | Test e:  68.86 
| Epoch   67 | Train e:  66.12, T l:  0.6122 | Val e:  62.04 | Test e:  68.86 
| Epoch   68 | Train e:  65.88, T l:  0.6116 | Val e:  62.77 | Test e:  68.86 
| Epoch   69 | Train e:  64.93, T l:  0.6077 | Val e:  61.56 | Test e:  68.13 
| Epoch   70 | Train e:  66.06, T l:  0.6125 | Val e:  63.99 | Test e:  68.86 
| Epoch   71 | Train e:  65.63, T l:  0.6102 | Val e:  61.56 | Test e:  68.13 
| Epoch   72 | Train e:  65.42, T l:  0.6096 | Val e:  60.10 | Test e:  67.64 
| Epoch   73 | Train e:  65.36, T l:  0.6072 | Val e:  62.77 | Test e:  68.13 
| Epoch   74 | Train e:  66.03, T l:  0.6083 | Val e:  61.80 | Test e:  68.37 
| Epoch   75 | Train e:  65.48, T l:  0.6127 | Val e:  63.99 | Test e:  68.37 
