

===============================================
2022-12-19 12:38:41

main_t.py --warmup 10 --scheduler linear --device 1

None

dataset: NCI1
use_node_attr: False
pre_transform: None
transform: None
clean_cache: False
use_public_splits: True
use_val: True
use_val_loss: True
same_best_epoch: False
early_stop: False
epochs: 100
scheduler: linear
warmup: 10
batch_size: 128
lr: 0.0001
weight_decay: 0.0001
clustering: True
tlayer_dropout: 0.1
seeds: 12344
save_state: False



| Epoch    0 | Train e:  37.29, T l:  0.7494 | Val e:  39.90 | Test e:  32.60 
| Epoch    1 | Train e:  56.11, T l:  0.6967 | Val e:  55.23 | Test e:  55.47 
| Epoch    2 | Train e:  62.56, T l:  0.6641 | Val e:  57.66 | Test e:  62.29 
| Epoch    3 | Train e:  62.93, T l:  0.6473 | Val e:  60.10 | Test e:  63.99 
| Epoch    4 | Train e:  63.17, T l:  0.6569 | Val e:  59.12 | Test e:  64.23 
| Epoch    5 | Train e:  63.02, T l:  0.6506 | Val e:  59.37 | Test e:  64.96 
| Epoch    6 | Train e:  62.86, T l:  0.6409 | Val e:  59.12 | Test e:  64.72 
| Epoch    7 | Train e:  63.41, T l:  0.6406 | Val e:  60.58 | Test e:  63.75 
| Epoch    8 | Train e:  61.16, T l:  0.6378 | Val e:  56.20 | Test e:  59.85 
| Epoch    9 | Train e:  62.68, T l:  0.6428 | Val e:  60.10 | Test e:  63.26 
| Epoch   10 | Train e:  62.20, T l:  0.6328 | Val e:  57.18 | Test e:  62.29 
| Epoch   11 | Train e:  63.75, T l:  0.6430 | Val e:  60.83 | Test e:  65.21 
| Epoch   12 | Train e:  63.59, T l:  0.6361 | Val e:  61.07 | Test e:  63.26 
| Epoch   13 | Train e:  64.39, T l:  0.6377 | Val e:  59.37 | Test e:  64.96 
| Epoch   14 | Train e:  63.11, T l:  0.6340 | Val e:  59.12 | Test e:  64.23 
| Epoch   15 | Train e:  63.63, T l:  0.6294 | Val e:  60.83 | Test e:  64.96 
| Epoch   16 | Train e:  63.20, T l:  0.6286 | Val e:  58.88 | Test e:  62.29 
| Epoch   17 | Train e:  64.45, T l:  0.6263 | Val e:  60.83 | Test e:  65.45 
| Epoch   18 | Train e:  64.48, T l:  0.6335 | Val e:  58.39 | Test e:  64.72 
| Epoch   19 | Train e:  64.14, T l:  0.6311 | Val e:  59.61 | Test e:  66.18 
| Epoch   20 | Train e:  63.05, T l:  0.6257 | Val e:  59.12 | Test e:  63.02 
| Epoch   21 | Train e:  63.32, T l:  0.6298 | Val e:  61.56 | Test e:  64.96 
| Epoch   22 | Train e:  64.02, T l:  0.6325 | Val e:  61.56 | Test e:  66.67 
| Epoch   23 | Train e:  65.30, T l:  0.6294 | Val e:  60.58 | Test e:  66.67 
| Epoch   24 | Train e:  62.35, T l:  0.6277 | Val e:  59.12 | Test e:  63.02 
| Epoch   25 | Train e:  63.41, T l:  0.6252 | Val e:  59.37 | Test e:  66.18 
| Epoch   26 | Train e:  64.17, T l:  0.6254 | Val e:  58.88 | Test e:  66.18 
| Epoch   27 | Train e:  63.38, T l:  0.6273 | Val e:  61.07 | Test e:  66.42 
| Epoch   28 | Train e:  64.08, T l:  0.6260 | Val e:  61.80 | Test e:  67.40 
| Epoch   29 | Train e:  64.72, T l:  0.6259 | Val e:  60.34 | Test e:  66.18 
| Epoch   30 | Train e:  63.72, T l:  0.6265 | Val e:  61.07 | Test e:  63.99 
| Epoch   31 | Train e:  64.87, T l:  0.6315 | Val e:  61.31 | Test e:  66.67 
| Epoch   32 | Train e:  65.09, T l:  0.6229 | Val e:  60.10 | Test e:  65.69 
| Epoch   33 | Train e:  63.78, T l:  0.6230 | Val e:  60.83 | Test e:  66.18 
| Epoch   34 | Train e:  64.36, T l:  0.6216 | Val e:  60.34 | Test e:  65.45 
| Epoch   35 | Train e:  64.60, T l:  0.6249 | Val e:  61.31 | Test e:  67.15 
| Epoch   36 | Train e:  64.63, T l:  0.6245 | Val e:  60.58 | Test e:  66.91 
